colision_fecha,colision_calle,colision_cruce,colision_long,colision_lat,colision_tipoincidente,colision_tipoaccidentediverso,indiv_estadoalcoholico,indiv_estatus,indiv_Deceso
2014-01-01T02:46:00Z,AV. GARZA SADA  ,ANTIGUO CAMINO AL DIENTE,-100.260894,25.593714,ALCANCE,ALCANCE,0,0,0
2014-01-01T05:50:00Z,PROL JALISCO,LAGUNA DE GUZMAN,-100.315466,25.651284,VOLCADURA,VOLCADURA,0,0,0
2014-01-01T07:00:00Z,AV. GONZALITOS  ,AV. MORONES PRIETO,-100.35327,25.670404,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T07:08:00Z,OCASO,JULIO A ROCA,-100.37994,25.787332,ATROPELLO,ATROPELLO,0,0,0
2014-01-01T07:20:00Z,AV. PINO SUAREZ  ,ARAMBERRI,-100.319308,25.676683,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T08:10:00Z,ARISTA,PEDRO NORIEGA,-100.305106,25.6865,VEHICULO ESTACIONADO,VEHICULO ESTACIONADO,0,0,0
2014-01-01T08:22:00Z,AV. CUAUHTEMOC  ,5 DE MAYO,-100.318792,25.674144,CRUCERO,CRUCERO,0,0,0
2014-01-01T08:40:00Z,AV. MADERO  ,AV. BERNARDO REYES,-100.32316,25.685199,CRUCERO,CRUCERO,0,0,0
2014-01-01T08:54:00Z,AV. ANTONIO L RODRIGUEZ  ,AV. SANTA BARBARA,-100.382708,25.67004,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T09:32:00Z,JOSE MARTI,LAZARO GARZA AYALA,-100.274912,25.684673,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T09:35:00Z,AV. RUIZ CORTINES  ,PINGÜINO,-100.372106,25.73028,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T09:40:00Z,AV. LAZARO CARDENAS  ,PASEO DEL MARQUES,-100.290926,25.625152,VEHICULO ESTACIONADO,VEHICULO ESTACIONADO,0,0,0
2014-01-01T09:52:00Z,CAMINO A LOS ZENZONTLES,SAN JEMO,-100.365725,25.680394,CRUCERO,CRUCERO,0,0,0
2014-01-01T10:11:00Z,ISAAC GARZA,VILLAGRAN,-100.322263,25.681376,CRUCERO,CRUCERO,0,0,0
2014-01-01T10:40:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330192,25.722609,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T11:00:00Z,AV. CONSTITUCION  ,CONSTITUYENTES DEL 57,-100.262133,25.684121,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T11:40:00Z,AV. PASEO DE LOS LEONES  ,AV. PUERTA DE HIERRO,-100.415287,25.756031,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T12:40:00Z,AV. CONSTITUCION  ,AV. FUNDIDORA,-100.287087,25.672809,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T13:00:00Z,FTE AL # 1117,SAINT DENIS,-100.415727,25.762663,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-01-01T13:20:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330265,25.723349,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T16:26:00Z,JOSE MANUEL OTHON,CANANEA,-100.289377,25.684527,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T16:17:00Z,AV. MANUEL L BARRAGAN  ,MARTIN CARRERA,-100.316657,25.707417,CRUCERO,CRUCERO,0,0,0
2014-01-01T15:33:00Z,AV. MORONES PRIETO  ,LOMA LARGA,-100.338686,25.666499,LATERAL,LATERAL,0,0,0
2014-01-01T14:00:00Z,AV. PASEO DE LOS LEONES  ,AV. HACIENDA DE PEÑUELAS,-100.398469,25.732095,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T14:58:00Z,AV. RAUL RANGEL FRIAS  ,AV. AZTLAN,-100.345546,25.729845,ALCANCE,ALCANCE,0,0,0
2014-01-01T16:12:00Z,AV. AZTLAN  ,PALMILLO,-100.380356,25.779704,CRUCERO,CRUCERO,0,0,0
2014-01-01T18:00:00Z,AV. AARON SAENZ  ,AV. INSURGENTES,-100.368293,25.674891,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T20:18:00Z,INDEPENDENCIA,AV. CONCHELLO,-100.301038,25.700972,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T18:00:00Z,AV. INSURGENTES  ,DE LOS MIRLOS,-100.366656,25.678947,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T14:34:00Z,GUERRERO  ,ARTEAGA,-100.312216,25.683103,CRUCERO,CRUCERO,0,0,0
2014-01-01T16:40:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330386,25.723426,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T14:58:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330302,25.723442,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T17:09:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330166,25.723396,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T16:31:00Z,HERA,DERECHO DE HUELGA,-100.362257,25.769725,CRUCERO,CRUCERO,0,0,0
2014-01-01T19:15:00Z,AV. RUIZ CORTINES  ,PELICANO,-100.37754,25.735088,LATERAL,LATERAL,0,0,0
2014-01-01T18:00:00Z,AV. FIDEL VELAZQUEZ  ,AV. PENITENCIARIA,-100.332294,25.721939,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T14:00:00Z,AV. MADERO  ,ZUAZUA,-100.307672,25.683541,CRUCERO,CRUCERO,0,0,0
2014-01-01T14:00:00Z,AV. MADERO  ,ZUAZUA,-100.307596,25.683586,ALCANCE,ALCANCE,0,0,0
2014-01-01T00:40:00Z,AV. PASEO DE LOS LEONES  ,AV. SEVILLA,-100.395145,25.726974,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T22:04:00Z,AV. LUIS DONALDO COLOSIO  ,AV. NO REELECCION,-100.397085,25.76548,LATERAL,LATERAL,0,0,0
2014-01-01T22:50:00Z,AV. ALFONSO REYES  ,FRESADOR,-100.299374,25.633586,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T22:30:00Z,AV. RUIZ CORTINES  ,AV. CHURUBUSCO,-100.268519,25.703692,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T18:00:00Z,GUERRERO  ,ARTEAGA,-100.312311,25.683075,ATROPELLO,ATROPELLO,0,0,0
2014-01-01T17:45:00Z,AV. MORONES PRIETO  ,ESPAÑA,-100.359673,25.672521,ALCANCE,ALCANCE,0,0,0
2014-01-01T17:55:00Z,AV. COLON  ,AV. PINO SUAREZ,-100.317718,25.686033,ATROPELLO,ATROPELLO,0,0,0
2014-01-01T01:00:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330404,25.723507,DIVERSO,DIVERSO/SD,0,0,0
2014-01-01T00:10:00Z,AV. LINCOLN  ,MARIA DE JESUS CANDIA ,-100.368964,25.72843,DIVERSO,DIVERSO/SD,0,0,0
